Well ID,Depth,Temp
NWG 55-29,344.8303898,61.67872223
NWG 55-29,344.9827898,61.6778889
NWG 55-29,345.1351898,61.67872223
NWG 55-29,345.2875898,61.67783334
NWG 55-29,345.4399898,61.67877779
NWG 55-29,345.5923898,61.68233334
NWG 55-29,345.7447898,61.68750001
NWG 55-29,345.8971898,61.6913889
NWG 55-29,346.0495898,61.68794446
NWG 55-29,346.2019898,61.69011112
NWG 55-29,346.3543898,61.6938889
NWG 55-29,346.5067898,61.69300001
NWG 55-29,346.6591898,61.69505557
NWG 55-29,346.8115898,61.69750001
NWG 55-29,346.9639898,61.69822223
NWG 55-29,347.1163898,61.7023889
NWG 55-29,347.2687898,61.70366668
NWG 55-29,347.4211898,61.70744446
NWG 55-29,347.5735898,61.71511112
NWG 55-29,347.7259898,61.72111112
NWG 55-29,347.8783898,61.72455557
NWG 55-29,348.0307898,61.72666668
NWG 55-29,348.1831898,61.72927779
NWG 55-29,348.3355898,61.72677779
NWG 55-29,348.4879898,61.72511112
NWG 55-29,348.6403898,61.72594446
NWG 55-29,348.7927898,61.72683334
NWG 55-29,348.9451898,61.72900001
NWG 55-29,349.0975898,61.72822223
NWG 55-29,349.2499898,61.73300001
NWG 55-29,349.4023898,61.73727779
NWG 55-29,349.5547898,61.73727779
NWG 55-29,349.7071898,61.73766668
NWG 55-29,349.8595898,61.7393889
NWG 55-29,350.0119898,61.73722223
NWG 55-29,350.1643898,61.73722223
NWG 55-29,350.3167898,61.74016668
NWG 55-29,350.4691898,61.73716668
NWG 55-29,350.6215898,61.73494446
NWG 55-29,350.7739898,61.73705557
NWG 55-29,350.9263898,61.74216668
NWG 55-29,351.0787898,61.74944446
NWG 55-29,351.2311898,61.75027779
NWG 55-29,351.3835898,61.7493889
NWG 55-29,351.5359898,61.75455557
NWG 55-29,351.6883898,61.7528889
NWG 55-29,351.8407898,61.75255557
NWG 55-29,351.9931898,61.75261112
NWG 55-29,352.1455898,61.75394446
NWG 55-29,352.2979898,61.75522223
NWG 55-29,352.4503898,61.75566668
NWG 55-29,352.6027898,61.75527779
NWG 55-29,352.7551898,61.75527779
NWG 55-29,352.9075898,61.75694446
NWG 55-29,353.0599898,61.76027779
NWG 55-29,353.2123898,61.76283334
NWG 55-29,353.3647898,61.76416668
NWG 55-29,353.5171898,61.7653889
NWG 55-29,353.6695898,61.76755557
NWG 55-29,353.8219898,61.7653889
NWG 55-29,353.9743898,61.76411112
NWG 55-29,354.1267898,61.76716668
NWG 55-29,354.2791898,61.76511112
NWG 55-29,354.4315898,61.76472223
NWG 55-29,354.5839898,61.77022223
NWG 55-29,354.7363898,61.77016668
NWG 55-29,354.8887898,61.77450001
NWG 55-29,355.0411898,61.77794446
NWG 55-29,355.1935898,61.77233334
NWG 55-29,355.3459898,61.77183334
NWG 55-29,355.4983898,61.77011112
NWG 55-29,355.6507898,61.77133334
NWG 55-29,355.8031898,61.77083334
NWG 55-29,355.9555898,61.77255557
NWG 55-29,356.1079898,61.77422223
NWG 55-29,356.2603898,61.77422223
NWG 55-29,356.4127898,61.77683334
NWG 55-29,356.5651898,61.77900001
NWG 55-29,356.7175898,61.78622223
NWG 55-29,356.8699898,61.78622223
NWG 55-29,357.0223898,61.78750001
NWG 55-29,357.1747898,61.78455557
NWG 55-29,357.3271898,61.78794446
NWG 55-29,357.4795898,61.78455557
NWG 55-29,357.6319898,61.78327779
NWG 55-29,357.7843898,61.78327779
NWG 55-29,357.9367898,61.78205557
NWG 55-29,358.0891898,61.7863889
NWG 55-29,358.2415898,61.78727779
NWG 55-29,358.3939898,61.7893889
NWG 55-29,358.5463898,61.78983334
NWG 55-29,358.6987898,61.7953889
NWG 55-29,358.8511898,61.79366668
NWG 55-29,359.0035898,61.79616668
NWG 55-29,359.1559898,61.79527779
NWG 55-29,359.3083898,61.79433334
NWG 55-29,359.4607898,61.79516668
NWG 55-29,359.6131898,61.79516668
NWG 55-29,359.7655898,61.79733334
NWG 55-29,359.9179898,61.79905557
NWG 55-29,360.0703898,61.80033334
NWG 55-29,360.2227898,61.80372223
NWG 55-29,360.3751898,61.80333334
NWG 55-29,360.5275898,61.80172223
NWG 55-29,360.6799898,61.80561112
NWG 55-29,360.8323898,61.80427779
NWG 55-29,360.9847898,61.80811112
NWG 55-29,361.1371898,61.80594446
NWG 55-29,361.2895898,61.80461112
NWG 55-29,361.4419898,61.80594446
